location_key,date,place_id,wikidata_id,country_code,country_name,subregion1_code,subregion1_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,new_deceased,cumulative_confirmed,cumulative_deceased,cumulative_tested,population,population_male,population_female,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,openstreetmap_id,latitude,longitude,area_sq_km,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_parks,mobility_transit_stations,mobility_workplaces,mobility_residential,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,dew_point,relative_humidity
ZA_WC,2020-02-06,ChIJ841peohdzB0Ri6I2IY95juk,Q127167,ZA,South Africa,WC,Western Cape,ZA,ZAF,1,,,,,,7113776,3691344,3683467,1222161,1122560,1279498,1299900,1019290,698674,465158,205867,61704,80501,-34.0,20.0,129462,,,,,,,19.277778,16.975309,27.166667,1.185333,13.722222,71.140629
ZA_WC,2020-02-07,ChIJ841peohdzB0Ri6I2IY95juk,Q127167,ZA,South Africa,WC,Western Cape,ZA,ZAF,1,,,,,,7113776,3691344,3683467,1222161,1122560,1279498,1299900,1019290,698674,465158,205867,61704,80501,-34.0,20.0,129462,,,,,,,20.516667,17.233333,24.427778,0.9144,15.033333,71.433341
ZA_WC,2020-02-08,ChIJ841peohdzB0Ri6I2IY95juk,Q127167,ZA,South Africa,WC,Western Cape,ZA,ZAF,1,,,,,,7113776,3691344,3683467,1222161,1122560,1279498,1299900,1019290,698674,465158,205867,61704,80501,-34.0,20.0,129462,,,,,,,21.839506,17.666667,28.388889,0.282222,16.58642,72.649056
ZA_WC,2020-02-09,ChIJ841peohdzB0Ri6I2IY95juk,Q127167,ZA,South Africa,WC,Western Cape,ZA,ZAF,1,,,,,,7113776,3691344,3683467,1222161,1122560,1279498,1299900,1019290,698674,465158,205867,61704,80501,-34.0,20.0,129462,,,,,,,22.572222,18.966667,29.222222,0.3048,16.877778,71.920941
ZA_WC,2020-02-10,ChIJ841peohdzB0Ri6I2IY95juk,Q127167,ZA,South Africa,WC,Western Cape,ZA,ZAF,1,,,,,,7113776,3691344,3683467,1222161,1122560,1279498,1299900,1019290,698674,465158,205867,61704,80501,-34.0,20.0,129462,,,,,,,23.320988,19.364198,28.938272,0.225778,17.234568,69.914884
ZA_WC,2020-02-11,ChIJ841peohdzB0Ri6I2IY95juk,Q127167,ZA,South Africa,WC,Western Cape,ZA,ZAF,1,,,,,,7113776,3691344,3683467,1222161,1122560,1279498,1299900,1019290,698674,465158,205867,61704,80501,-34.0,20.0,129462,,,,,,,24.144444,19.194444,31.205556,0.0508,16.416667,63.761121
ZA_WC,2020-02-12,ChIJ841peohdzB0Ri6I2IY95juk,Q127167,ZA,South Africa,WC,Western Cape,ZA,ZAF,1,,,,,,7113776,3691344,3683467,1222161,1122560,1279498,1299900,1019290,698674,465158,205867,61704,80501,-34.0,20.0,129462,,,,,,,24.290123,19.240741,31.660494,0.0,16.432099,64.294662
ZA_WC,2020-02-13,ChIJ841peohdzB0Ri6I2IY95juk,Q127167,ZA,South Africa,WC,Western Cape,ZA,ZAF,1,,,,,,7113776,3691344,3683467,1222161,1122560,1279498,1299900,1019290,698674,465158,205867,61704,80501,-34.0,20.0,129462,,,,,,,22.244444,17.705556,29.933333,0.6096,16.35,70.212965
ZA_WC,2020-02-14,ChIJ841peohdzB0Ri6I2IY95juk,Q127167,ZA,South Africa,WC,Western Cape,ZA,ZAF,1,,,,,,7113776,3691344,3683467,1222161,1122560,1279498,1299900,1019290,698674,465158,205867,61704,80501,-34.0,20.0,129462,,,,,,,21.583333,17.15,29.555556,0.423333,15.761111,70.158837
ZA_WC,2020-02-15,ChIJ841peohdzB0Ri6I2IY95juk,Q127167,ZA,South Africa,WC,Western Cape,ZA,ZAF,1,,,,,,7113776,3691344,3683467,1222161,1122560,1279498,1299900,1019290,698674,465158,205867,61704,80501,-34.0,20.0,129462,-2,-1,4,-3,0,-1,23.611111,17.6,30.961111,0.0508,16.227778,64.640604
